    160,        1.375,          0.5,         0.25
    161,        1.375,        0.375,         0.25
    162,        1.375,         0.25,         0.25
    163,        1.375,        0.125,         0.25
    164,        1.375,           0.,         0.25
    165,        1.375,           5.,        0.125
    166,        1.375,        4.875,        0.125
    167,        1.375,         4.75,        0.125
    168,        1.375,        4.625,        0.125
    169,        1.375,          4.5,        0.125
    170,        1.375,        4.375,        0.125
    171,        1.375,         4.25,        0.125
    172,        1.375,        4.125,        0.125
    173,        1.375,           4.,        0.125
    174,        1.375,        3.875,        0.125
    175,        1.375,         3.75,        0.125
    176,        1.375,        3.625,        0.125
    177,        1.375,          3.5,        0.125
    178,        1.375,        3.375,        0.125
    179,        1.375,         3.25,        0.125
    180,        1.375,        3.125,        0.125
    181,        1.375,           3.,        0.125
    182,        1.375,        2.875,        0.125
    183,        1.375,         2.75,        0.125
    184,        1.375,        2.625,        0.125
    185,        1.375,          2.5,        0.125
    186,        1.375,        2.375,        0.125
    187,        1.375,         2.25,        0.125
    188,        1.375,        2.125,        0.125
    189,        1.375,           2.,        0.125
    190,        1.375,        1.875,        0.125
    191,        1.375,         1.75,        0.125
    192,        1.375,        1.625,        0.125
    193,        1.375,          1.5,        0.125
    194,        1.375,        1.375,        0.125
    195,        1.375,         1.25,        0.125
    196,        1.375,        1.125,        0.125
    197,        1.375,           1.,        0.125
    198,        1.375,        0.875,        0.125
    199,        1.375,         0.75,        0.125
    200,        1.375,        0.625,        0.125
    201,        1.375,          0.5,        0.125
    202,        1.375,        0.375,        0.125
    203,        1.375,         0.25,        0.125
    204,        1.375,        0.125,        0.125
    205,        1.375,           0.,        0.125
    206,        1.375,           5.,           0.
    207,        1.375,        4.875,           0.
    208,        1.375,         4.75,           0.
    209,        1.375,        4.625,           0.
    210,        1.375,          4.5,           0.
    211,        1.375,        4.375,           0.
    212,        1.375,         4.25,           0.
    213,        1.375,        4.125,           0.
    214,        1.375,           4.,           0.
    215,        1.375,        3.875,           0.
    216,        1.375,         3.75,           0.
    217,        1.375,        3.625,           0.
    218,        1.375,          3.5,           0.
    219,        1.375,        3.375,           0.
    220,        1.375,         3.25,           0.
    221,        1.375,        3.125,           0.
    222,        1.375,           3.,           0.
    223,        1.375,        2.875,           0.
    224,        1.375,         2.75,           0.
    225,        1.375,        2.625,           0.
    226,        1.375,          2.5,           0.
    227,        1.375,        2.375,           0.
    228,        1.375,         2.25,           0.
    229,        1.375,        2.125,           0.
    230,        1.375,           2.,           0.
    231,        1.375,        1.875,           0.
    232,        1.375,         1.75,           0.
    233,        1.375,        1.625,           0.
    234,        1.375,          1.5,           0.
    235,        1.375,        1.375,           0.
    236,        1.375,         1.25,           0.
